time,hydro_2_5,spectral_log_ratio_4p5_8_over_8_16,effect_tremor_5_15,rainfall_mm,pressure_drop,GNSS_deformation_rate
2019-10-24 01:00:00+00:00,1.5677243152073768e-06,-0.43468521433378066,0.46269913198636914,0.0,0.5,-0.0029299999999999986
2019-10-24 02:00:00+00:00,1.5730865741194747e-06,-0.46808176817858066,0.6209156355097125,0.1,0.8000000000000682,-0.0029299999999999986
2019-10-24 03:00:00+00:00,1.7411890780165135e-06,-0.46808176817858066,0.7674327907605036,0.1,0.6999999999999318,-0.0029299999999999986
2019-10-24 04:00:00+00:00,1.642298371866723e-06,-0.4909757263203932,0.5059362133666596,0.1,0.5,-0.0029299999999999986
2019-10-24 05:00:00+00:00,1.7032884988187048e-06,-0.5012414480569586,0.5409998695651037,0.1,0.5,-0.0029299999999999986
2019-10-24 06:00:00+00:00,1.787167365177635e-06,-0.5074332894275564,0.5420050640542069,0.0,0.10000000000002274,-0.0029299999999999986
2019-10-24 07:00:00+00:00,1.6969699122187244e-06,-0.541458315235313,0.4881769523350066,0.0,-0.10000000000002274,-0.0029299999999999986
2019-10-24 08:00:00+00:00,1.771577933145299e-06,-0.5859807511618833,0.36625981844525235,0.0,-0.6999999999999318,-0.0029299999999999986
2019-10-24 09:00:00+00:00,1.6868062372651064e-06,-0.5996773046117793,0.24232365106433384,0.0,-1.0,-0.0029299999999999986
2019-10-24 10:00:00+00:00,1.5224074295321887e-06,-0.5996773046117793,0.005501940109255088,0.0,-0.6000000000000227,-0.0029299999999999986
2019-10-24 11:00:00+00:00,1.6834470516042836e-06,-0.5996773046117793,0.29244348164371026,0.0,-0.2999999999999545,-0.0029299999999999986
2019-10-24 12:00:00+00:00,1.741817491719943e-06,-0.5984440788319891,0.30572627387359397,0.0,-0.20000000000004547,-0.0029299999999999986
2019-10-24 13:00:00+00:00,1.6490359495823393e-06,-0.5550413029821705,0.09227101794515669,0.0,-0.20000000000004547,-0.0029299999999999986
2019-10-24 14:00:00+00:00,1.675082348552535e-06,-0.49103174179643466,0.0,0.0,0.10000000000002274,-0.0029299999999999986
2019-10-24 15:00:00+00:00,1.5322657613305306e-06,-0.4738770368126809,0.0,0.0,0.0,-0.0029299999999999986
2019-10-24 16:00:00+00:00,1.5818827350826929e-06,-0.4738770368126809,0.0,0.0,-0.10000000000002274,-0.0029299999999999986
2019-10-24 17:00:00+00:00,1.5459159796825287e-06,-0.4738770368126809,0.0,0.0,-0.1999999999999318,-0.0029299999999999986
2019-10-24 18:00:00+00:00,1.6803698427885647e-06,-0.3923356815943593,0.0,0.0,-0.39999999999997726,-0.0029299999999999986
2019-10-24 19:00:00+00:00,1.7225119544504167e-06,-0.3047435676319473,0.0,0.0,-0.20000000000004547,-0.0029299999999999986
2019-10-24 20:00:00+00:00,1.6162109541274973e-06,-0.3047435676319473,0.0,0.0,-0.10000000000002274,-0.0029299999999999986
2019-10-24 21:00:00+00:00,1.5539744237221055e-06,-0.3047435676319473,0.0,0.0,0.20000000000004547,-0.0029299999999999986
2019-10-24 22:00:00+00:00,1.494016924572004e-06,-0.3539806876662651,0.0,0.0,0.0,-0.0029299999999999986
2019-10-24 23:00:00+00:00,1.5112698166981286e-06,-0.4312710626528652,0.0,0.0,0.5,-0.0029299999999999986
2019-10-25 00:00:00+00:00,1.4503672550832676e-06,-0.4510226051898966,0.0,0.0,0.2999999999999545,-0.008879999999999999
2019-10-25 01:00:00+00:00,1.4592429814739976e-06,-0.4510226051898966,0.0,0.0,0.20000000000004547,-0.008879999999999999
2019-10-25 02:00:00+00:00,1.5866596090125082e-06,-0.4510226051898966,0.0,0.0,0.5,-0.008879999999999999
2019-10-25 03:00:00+00:00,1.5332390002415516e-06,-0.41143557033570727,0.0,0.0,0.0,-0.008879999999999999
2019-10-25 04:00:00+00:00,1.5042470825509929e-06,-0.39565875056774225,0.16470654487200953,0.0,-0.10000000000002274,-0.008879999999999999
2019-10-25 05:00:00+00:00,1.5063699894795144e-06,-0.39565875056774225,0.033591468536974034,0.0,-0.6000000000000227,-0.008879999999999999
2019-10-25 06:00:00+00:00,1.5754662078837303e-06,-0.39565875056774225,0.0,0.0,-0.39999999999997726,-0.008879999999999999
2019-10-25 07:00:00+00:00,1.5940597510447377e-06,-0.4557204699643667,0.0,0.3,-1.0,-0.008879999999999999
2019-10-25 08:00:00+00:00,1.4712118385794715e-06,-0.4557204699643667,0.0,0.1,-1.5,-0.008879999999999999
2019-10-25 09:00:00+00:00,1.4099601134161461e-06,-0.4557204699643667,0.0,0.0,-0.5,-0.008879999999999999
2019-10-25 10:00:00+00:00,1.3707997251656687e-06,-0.28110708383053984,0.0,0.0,-0.2999999999999545,-0.008879999999999999
2019-10-25 11:00:00+00:00,1.4378535014504936e-06,0.15115237080337734,0.0,0.0,0.09999999999990905,-0.008879999999999999
2019-10-25 12:00:00+00:00,1.4349403776596795e-06,0.3794711305855293,0.0,0.0,-0.599999999999909,-0.008879999999999999
2019-10-25 13:00:00+00:00,1.4312945597869116e-06,0.3856968227710378,0.0,0.0,-0.10000000000002274,-0.008879999999999999
2019-10-25 14:00:00+00:00,1.4016369327798749e-06,0.38925160969349293,0.0,0.0,0.1999999999999318,-0.008879999999999999
2019-10-25 15:00:00+00:00,1.3849893190843352e-06,0.38925160969349293,0.0,0.0,0.10000000000002274,-0.008879999999999999
2019-10-25 16:00:00+00:00,1.3692664514821364e-06,0.3856968227710378,0.0,0.0,-0.39999999999997726,-0.008879999999999999
2019-10-25 17:00:00+00:00,1.377628413607198e-06,0.37639030076356816,0.0,0.0,-0.20000000000004547,-0.008879999999999999
2019-10-25 18:00:00+00:00,1.3230422009070112e-06,0.3565272397103648,0.0,0.0,-0.2999999999999545,-0.008879999999999999
2019-10-25 19:00:00+00:00,1.2726023144484652e-06,0.3085353521490243,0.0,0.0,-0.5,-0.008879999999999999
2019-10-25 20:00:00+00:00,1.2896992086860378e-06,0.23185497354056142,0.0,0.0,-0.6000000000000227,-0.008879999999999999
2019-10-25 21:00:00+00:00,1.2715543752569553e-06,0.21638408196159026,0.0,0.0,-0.10000000000002274,-0.008879999999999999
2019-10-25 22:00:00+00:00,1.283024463911595e-06,0.21638408196159026,0.0032501666486837166,0.0,0.0,-0.008879999999999999
2019-10-25 23:00:00+00:00,1.2583228739069617e-06,0.21638408196159026,0.013400167120218853,0.0,0.3000000000000682,-0.008879999999999999
2019-10-26 00:00:00+00:00,1.283640801003748e-06,0.2494382409674631,0.07569423051081436,0.0,0.1999999999999318,0.008899999999999998
2019-10-26 01:00:00+00:00,1.2609275956629847e-06,0.2494382409674631,0.04946748564769088,0.0,0.10000000000002274,0.008899999999999998
2019-10-26 02:00:00+00:00,1.2486796651496837e-06,0.2660686396917855,0.07529168805555919,0.0,1.0,0.008899999999999998
2019-10-26 03:00:00+00:00,1.2494743103870263e-06,0.2660686396917855,0.10224065985246256,0.0,0.6000000000000227,0.008899999999999998
2019-10-26 04:00:00+00:00,1.2167742001794521e-06,0.22040556730701838,0.047178371676352526,0.0,-0.10000000000002274,0.008899999999999998
2019-10-26 05:00:00+00:00,1.2857133592385638e-06,0.14636357347146753,0.07942048305271321,0.0,-0.10000000000002274,0.008899999999999998
2019-10-26 06:00:00+00:00,1.3014228615964823e-06,0.11787702587358535,0.18903017001693456,0.0,-0.2999999999999545,0.008899999999999998
2019-10-26 07:00:00+00:00,1.3057486368318464e-06,0.08384323768151969,0.19560728216497836,0.0,-0.6000000000000227,0.008899999999999998
2019-10-26 08:00:00+00:00,1.3011994831378176e-06,0.027609931635165008,0.16203804330873695,0.0,-0.8999999999999773,0.008899999999999998
2019-10-26 09:00:00+00:00,1.2727822934370213e-06,-0.017487174497974173,0.050443005429432475,0.0,-0.2999999999999545,0.008899999999999998
2019-10-26 10:00:00+00:00,1.2899908600851495e-06,-0.017487174497974173,0.14909288174045088,0.0,-0.5,0.008899999999999998
2019-10-26 11:00:00+00:00,1.3456357225101335e-06,-0.03767597335876764,0.24306215159371014,0.0,0.0,0.008899999999999998
2019-10-26 12:00:00+00:00,1.364687767477341e-06,-0.05578184042414398,0.31853481153575913,0.0,0.09999999999990905,0.008899999999999998
2019-10-26 13:00:00+00:00,1.3518015778409456e-06,-0.05578184042414398,0.39580027382324445,0.0,0.10000000000002274,0.008899999999999998
2019-10-26 14:00:00+00:00,1.3927310046474411e-06,-0.10962116068577213,0.2388607662961615,0.0,0.20000000000004547,0.008899999999999998
2019-10-26 15:00:00+00:00,1.3436261019731052e-06,-0.12687123583842355,0.053934536956377954,0.0,0.10000000000002274,0.008899999999999998
2019-10-26 16:00:00+00:00,1.3509829389372168e-06,-0.12687123583842355,0.017332498360364212,0.0,0.0,0.008899999999999998
2019-10-26 17:00:00+00:00,1.3252169808325368e-06,-0.12687123583842355,0.0,0.0,-0.20000000000004547,0.008899999999999998
2019-10-26 18:00:00+00:00,1.3337991803254619e-06,-0.01776871310089604,0.0,0.0,-0.2999999999999545,0.008899999999999998
2019-10-26 19:00:00+00:00,1.3478375236069958e-06,0.07664863538935837,0.0,0.0,-0.40000000000009095,0.008899999999999998
2019-10-26 20:00:00+00:00,1.3682751451320684e-06,0.1515024948478163,0.0,0.0,-0.5,0.008899999999999998
2019-10-26 21:00:00+00:00,1.3670888579562908e-06,0.24248540883458763,0.0,0.0,-0.1999999999999318,0.008899999999999998
2019-10-26 22:00:00+00:00,1.3548385331156347e-06,0.27035577913018294,0.0,0.0,0.10000000000002274,0.008899999999999998
