run,backend,lag,accepted,f_stat,critical_f,p_value,rss_reduced,rss_full,rss_reduction_ratio,gamma_2,trigger,cause,trigger_source,reason,experiment_type,split_id,representative_min_I2_length,supported_min_I2_lengths,n_supporting_min_I2_values,split_timestamp,case_pre_days,case_post_days,reference_days,alpha,pcmci_pc_alpha,pcmci_plus_pc_alpha,pcmci_alpha_level,pcmci_fdr_method,conditional_independence_test,bh_adjusted_p_value,accepted_after_bh,backend_label,trigger_source_label,reference_criterion,cause_label,trigger_label
hmml,hmml,11,True,5.419637386842371,4.006872886332733,0.023420646611746365,41.57388736416844,38.02111721979094,0.08545677033414859,0.33138398837205496,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.07889442079462307,False,HMML (baseline),Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,11,False,0.8384030771804514,4.006872886332733,0.3636452587221488,6.970463681379487,6.871139806253622,0.014249249356422673,-0.04907787181149656,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.5310375206736141,False,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,11,False,1.4590501424606108,4.006872886332733,0.2319836493962093,5.041551485511574,4.917838166924515,0.02453873950163696,-0.026382401820807613,pressure_drop_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.4016599467239377,False,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Pressure drop
hmml,hmml,12,True,40.70949186447668,4.009867915653539,3.401571124772573e-08,15.050304127994119,8.779774809242985,0.41663804700715107,0.49496083432874427,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,3.1294454347907674e-06,True,HMML (baseline),Lagged,AIC,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,12,False,0.007250054502122779,4.009867915653539,0.9324426984210835,28.548129694383444,28.5444990071284,0.00012717776239322753,0.011242065193621526,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.9638733511768505,False,HMML (baseline),Lagged,AIC,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,12,False,3.208176669703743,4.009867915653539,0.07858089341357744,8.07971107216338,7.649185818062722,0.05328473385439807,-0.08588738859055677,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.18037793588797357,False,HMML (baseline),Lagged,AIC,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
pcmci,pcmci,4,False,,,,,,,,GNSS_deformation_rate_scaled,,lagged,No B2 cause candidate remains after removing trigger.,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,,False,PCMCI,Lagged,,,Lagged GNSS deformation change
pcmci,pcmci,5,False,0.4962375998199864,3.9909237717402837,0.48371351995216594,11.301700422918165,11.214744518194676,0.007694055006727578,0.023380113744029575,pressure_drop_scaled,GNSS_deformation_rate_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.6267837159943559,False,PCMCI,Lagged,,Lagged GNSS deformation change,Pressure drop
pcmci,pcmci,5,False,2.8463482499900636,3.9909237717402837,0.09645044551669457,12.663018032590575,12.12382090125495,0.04258045988309447,-0.1100420529660183,GNSS_deformation_rate_scaled,rainfall_mm_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.20166911335308865,False,PCMCI,Lagged,,Rainfall,Lagged GNSS deformation change
pcmci,pcmci,6,False,,,,,,,,GNSS_deformation_rate_scaled,,lagged,No B2 cause candidate remains after removing trigger.,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,,False,PCMCI,Lagged,,,Lagged GNSS deformation change
