station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,Patm_3,WindSpeed,CO2_SO2
ME02,2008-04-15 18:00:00+00:00,2.717656631990004e-07,1.7297069893592345e-05,1.0131379586995193e-07,0.1308,11.693687,954.935152,29.918033,10.8625
ME02,2008-04-15 19:00:00+00:00,2.6422502780302963e-07,1.8955961782429652e-05,9.35011349754325e-08,0.127288,10.91646,955.421514,0.409836,10.8625
ME02,2008-04-15 20:00:00+00:00,2.5904911234782756e-07,1.4985000051593862e-05,9.100010879583416e-08,0.127288,9.705321,955.864963,0.0,10.8625
ME02,2008-04-15 21:00:00+00:00,2.645996348510177e-07,1.6204007955135925e-05,8.690826202800982e-08,0.135316,8.894717,956.294106,0.409836,10.8625
ME02,2008-04-15 22:00:00+00:00,2.7113639556408914e-07,1.908327286872885e-05,1.3916950551265592e-07,0.129797,8.58478,956.851993,0.0,10.8625
ME02,2008-04-15 23:00:00+00:00,2.798422461221869e-07,1.8182629604321135e-05,1.0442487235251817e-07,0.142843,7.988747,956.72325,0.819672,10.8625
ME02,2008-04-16 00:00:00+00:00,2.7583805908091914e-07,1.351217177394839e-05,1.1258394843059807e-07,0.134313,7.75987,956.75186,1.229508,9.65
ME02,2008-04-16 01:00:00+00:00,2.7200935832014887e-07,1.8046926265904712e-05,1.1294937933515895e-07,0.142843,7.798016,956.465764,0.0,9.65
ME02,2008-04-16 02:00:00+00:00,2.6732936898291766e-07,1.9171788392295756e-05,9.286562706706458e-08,0.142843,7.078009,956.136754,0.0,9.65
ME02,2008-04-16 03:00:00+00:00,2.63399798368774e-07,1.4099762644671299e-05,8.968648942734772e-08,0.142341,7.011253,956.050925,0.819672,9.65
ME02,2008-04-16 04:00:00+00:00,2.5790623717974613e-07,1.6862601425273718e-05,9.027275721339404e-08,0.146355,6.505817,956.236887,0.0,9.65
ME02,2008-04-16 05:00:00+00:00,2.553462889079701e-07,1.8099179313342258e-05,9.574804978355324e-08,0.146355,7.225825,956.837688,0.0,9.65
ME02,2008-04-16 06:00:00+00:00,2.2445537472729705e-07,2.205044451509934e-05,8.094552240368773e-08,0.150871,12.847606,957.581537,0.0,9.7125
