station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,pressure_drop,WindSpeed,CO2_SO2
ME01,2008-04-15 10:00:00+00:00,1.0850661840203864e-07,3.826034837737494e-07,3.931584126142742e-08,0.115246,17.06275,-1.0442489999999225,52.459016,13.2875
ME01,2008-04-15 11:00:00+00:00,1.212283635351322e-07,3.926751790056326e-07,6.401715601039465e-08,0.131302,18.250048,-0.08582899999998972,43.852459,13.2875
ME01,2008-04-15 12:00:00+00:00,1.2987916743141907e-07,4.2143993621118996e-07,6.375789571848237e-08,0.140835,16.752813,0.7295439999999189,99.180328,12.075
ME01,2008-04-15 13:00:00+00:00,1.3943869244927718e-07,1.1536014728161231e-06,5.891026713644218e-08,0.140835,16.976922,0.22887700000001132,93.032787,12.075
ME01,2008-04-15 14:00:00+00:00,1.3996214259570435e-07,5.501471575341126e-07,5.6350509965887365e-08,0.135818,17.024604,0.07152400000006764,79.508197,12.075
ME01,2008-04-15 15:00:00+00:00,1.463746592801507e-07,7.705325974574422e-07,8.645885344097569e-08,0.132306,16.633607,-0.08582899999998972,34.836066,12.075
ME01,2008-04-15 16:00:00+00:00,1.4883186167090363e-07,8.054040425924791e-07,4.6965850657026044e-08,0.126786,15.660881,-0.12874300000009953,62.295082,12.075
ME01,2008-04-15 17:00:00+00:00,1.5426396671773013e-07,7.791531265203874e-07,3.55111540037353e-08,0.127288,13.24814,0.2431810000000496,64.754098,12.075
ME01,2008-04-15 18:00:00+00:00,1.4334504739286328e-07,7.1479792876142e-07,2.449360659685731e-08,0.1308,11.693687,0.12874299999998584,29.918033,10.8625
ME01,2008-04-15 19:00:00+00:00,1.3404152118674447e-07,1.004216182656453e-06,7.336036998551981e-08,0.127288,10.91646,-0.48636199999998553,0.409836,10.8625
ME01,2008-04-15 20:00:00+00:00,1.3482436375353508e-07,7.687074136382306e-07,1.3722129788191638e-07,0.127288,9.705321,-0.4434489999999869,0.0,10.8625
ME01,2008-04-15 21:00:00+00:00,1.3831959789036546e-07,2.8593195626091513e-06,1.3916676985640055e-07,0.135316,8.894717,-0.42914300000006733,0.409836,10.8625
ME01,2008-04-15 22:00:00+00:00,1.3615781442594559e-07,9.338940292136836e-07,1.3987728959805877e-07,0.129797,8.58478,-0.557886999999937,0.0,10.8625
ME01,2008-04-15 23:00:00+00:00,1.3400891929068627e-07,1.5245698600178651e-06,1.1995462214101505e-07,0.142843,7.988747,0.12874299999998584,0.819672,10.8625
ME01,2008-04-16 00:00:00+00:00,1.3076822972391423e-07,2.4137862050526667e-06,7.055219020134509e-08,0.134313,7.75987,-0.028609999999957836,1.229508,9.65
ME01,2008-04-16 01:00:00+00:00,1.32895779910668e-07,8.989307894058673e-07,8.178879488927067e-08,0.142843,7.798016,0.2860959999999295,0.0,9.65
ME01,2008-04-16 02:00:00+00:00,1.28482623219536e-07,7.494256504656118e-07,5.544088169572859e-08,0.142843,7.078009,0.3290100000000393,0.0,9.65
ME01,2008-04-16 03:00:00+00:00,1.2072872021115352e-07,6.943117765988121e-07,6.817947455026727e-08,0.142341,7.011253,0.08582899999998972,0.819672,9.65
ME01,2008-04-16 04:00:00+00:00,1.1875170736127653e-07,9.643655818804622e-07,3.463936884251713e-08,0.146355,6.505817,-0.18596200000001772,0.0,9.65
ME01,2008-04-16 05:00:00+00:00,1.1654472756004932e-07,6.822227969457233e-07,3.665974970628046e-08,0.146355,7.225825,-0.6008009999999331,0.0,9.65
ME01,2008-04-16 06:00:00+00:00,1.0626403463351368e-07,2.217419863723572e-06,4.4237127100672716e-08,0.150871,12.847606,-0.7438490000000684,0.0,9.7125
ME01,2008-04-16 07:00:00+00:00,9.857568865633629e-08,2.150821994056018e-06,2.9575894270612785e-08,0.137323,12.880984,-0.901202000000012,15.163934,9.7125
ME01,2008-04-16 08:00:00+00:00,9.363151237600788e-08,4.829278748551875e-06,3.0985577730671006e-08,0.150369,13.925234,-0.6008009999999331,0.0,9.7125
ME01,2008-04-16 09:00:00+00:00,8.869934031221214e-08,3.012146055612624e-06,4.1303353500794e-08,0.13933,14.711997,-0.15735300000005736,0.819672,9.7125
ME01,2008-04-16 10:00:00+00:00,8.186639227184867e-08,5.999248444499727e-07,3.4490023550150186e-08,0.146857,15.408163,-0.24318099999993592,22.95082,9.7125
ME01,2008-04-16 11:00:00+00:00,7.949619882115645e-08,5.800669497533239e-07,2.631695121650548e-08,0.142843,16.132939,0.3004009999999653,31.147541,9.7125
ME01,2008-04-16 12:00:00+00:00,7.699146690472542e-08,5.275469970842417e-07,5.575547785092947e-08,0.131302,14.783521,0.05721900000003188,78.688525,9.775
ME01,2008-04-16 13:00:00+00:00,7.863937127056064e-08,5.317125858244454e-07,8.04009097438788e-08,0.142341,14.397292,0.08582799999999224,36.885246,9.775
ME01,2008-04-16 14:00:00+00:00,7.527941223374714e-08,3.569446245413826e-07,9.31149542258425e-08,0.126285,14.249475,0.8153730000000223,7.377049,9.775
ME01,2008-04-16 15:00:00+00:00,7.86666089009898e-08,1.7042548024778967e-06,9.44841513592048e-08,0.114242,14.459279,0.41483899999991536,30.737705,9.775
ME01,2008-04-16 16:00:00+00:00,8.320321987698309e-08,1.676980546213439e-06,9.868973234438455e-08,0.118256,14.70246,-0.11443799999995008,0.409836,9.775
ME01,2008-04-16 17:00:00+00:00,8.788184429036225e-08,2.067154288009464e-06,9.213384310892265e-08,0.125783,12.704558,0.9727249999999685,0.0,9.775
ME01,2008-04-16 18:00:00+00:00,1.0205093803989825e-07,1.0683649275831794e-06,2.2124741747784871e-07,0.126285,12.342171,-0.1573519999999462,40.163934,9.8375
ME01,2008-04-16 19:00:00+00:00,1.1296118789318913e-07,1.6067427106632316e-06,2.6739537648339824e-07,0.130299,11.803357,-0.20026700000005349,27.459016,9.8375
ME01,2008-04-16 20:00:00+00:00,1.056820137770519e-07,3.74873693417686e-07,2.2741678126625986e-07,0.126285,11.316994,0.100133000000028,23.360656,9.8375
ME01,2008-04-16 21:00:00+00:00,1.3256640637964757e-07,2.447669916870225e-07,3.725193582347464e-07,0.134313,11.202556,0.07152399999995396,33.606557,9.8375
ME01,2008-04-16 22:00:00+00:00,1.471737523023871e-07,3.380451586725211e-07,3.5546310174579034e-07,0.133309,13.13847,0.6008010000000468,31.557377,9.8375
ME01,2008-04-16 23:00:00+00:00,1.5858960285101515e-07,3.2295716166229776e-07,4.3674074358744723e-07,0.137825,12.575815,0.1430480000000216,42.213115,9.8375
ME01,2008-04-17 00:00:00+00:00,1.932558379229688e-07,3.903618169683892e-07,4.309092732151117e-07,0.150871,12.380317,0.9870300000000043,81.557377,9.9
ME01,2008-04-17 01:00:00+00:00,2.238998075158428e-07,1.3686022231896319e-06,4.4817026256305395e-07,0.142843,13.5247,0.2860959999999295,75.819672,9.9
ME01,2008-04-17 02:00:00+00:00,2.619195775791144e-07,2.449371339988958e-07,6.276783378024215e-07,0.146857,13.562846,0.9870300000000043,33.606557,9.9
ME01,2008-04-17 03:00:00+00:00,2.828602341544313e-07,2.799075377737919e-07,5.895700935437479e-07,0.137825,14.573717,0.5435820000000149,46.721311,9.9
ME01,2008-04-17 04:00:00+00:00,3.8618016430796434e-07,2.649085765867802e-07,8.981581819758858e-07,0.146355,11.655541,0.3290100000000393,25.819672,9.9
ME01,2008-04-17 05:00:00+00:00,3.886125209287078e-07,2.72030860157867e-07,7.230203480158351e-07,0.130299,13.834637,-0.1573520000000599,32.377049,9.9
ME01,2008-04-17 06:00:00+00:00,2.9857240081122863e-07,2.2911427308873047e-07,5.420923611313996e-07,0.138327,15.041007,-0.557886999999937,47.95082,10.158333333333333
ME01,2008-04-17 07:00:00+00:00,2.8458323024752255e-07,2.615226167046962e-07,7.204448962024204e-07,0.141839,15.989891,-0.12874299999998584,35.655738,10.158333333333333
ME01,2008-04-17 08:00:00+00:00,2.2199932995717368e-07,2.3037940851843266e-07,4.1606460320105746e-07,0.138327,17.482357,-0.3004000000000815,19.262295,10.158333333333333
ME01,2008-04-17 09:00:00+00:00,2.840280757859535e-07,2.78050757848831e-07,7.135859135750794e-07,0.125783,15.093458,0.7724580000000287,4.098361,10.158333333333333
ME01,2008-04-17 10:00:00+00:00,3.302292179346385e-07,6.327608647002273e-07,1.0214637796979574e-06,0.138327,12.485218,0.47205800000006093,6.967213,10.158333333333333
ME01,2008-04-17 11:00:00+00:00,3.634513519220806e-07,4.0424198189043583e-07,1.0772836454420738e-06,0.138828,11.979783,0.6866299999999228,0.409836,10.158333333333333
ME01,2008-04-17 12:00:00+00:00,2.8123528156051424e-07,3.083734902484244e-07,8.775971465672525e-07,0.125783,11.46481,0.7438490000000684,7.786885,10.416666666666668
ME01,2008-04-17 13:00:00+00:00,2.1346800994005082e-07,2.473903717774246e-06,6.299667021552331e-07,0.146857,10.711425,0.5006669999999076,26.639344,10.416666666666668
ME01,2008-04-17 14:00:00+00:00,2.2318887559473865e-07,2.98889825259868e-07,5.605538486034982e-07,0.14786,11.131032,0.715240000000108,19.672131,10.416666666666668
ME01,2008-04-17 15:00:00+00:00,2.2189564982254942e-07,3.057711809435134e-07,6.495994054812492e-07,0.142341,11.412359,0.2002669999999398,12.295082,10.416666666666668
ME01,2008-04-17 16:00:00+00:00,1.4521330790908313e-07,2.679578316261415e-07,3.0961668845238817e-07,0.142843,12.518596,0.5435820000000149,4.918033,10.416666666666668
ME01,2008-04-17 17:00:00+00:00,1.3133493165326505e-07,3.899174883807727e-07,2.5929012319307884e-07,0.142341,11.016594,0.8296769999999469,14.344262,10.416666666666668
ME01,2008-04-17 18:00:00+00:00,1.238236165292744e-07,3.682761585506642e-07,2.0222383447679395e-07,0.138327,9.876979,0.15735300000005736,0.0,10.675
ME01,2008-04-17 19:00:00+00:00,1.0462029494190957e-07,5.777505951714392e-07,1.129750175695005e-07,0.138327,9.438299,-0.486362999999983,20.901639,10.675
ME01,2008-04-17 20:00:00+00:00,9.192907308306761e-08,4.481232032338492e-07,6.579171301534905e-08,0.134313,9.385848,-0.8725920000000542,8.606557,10.675
ME01,2008-04-17 21:00:00+00:00,7.29503306644829e-08,1.4015304425414503e-06,1.8255324991016046e-08,0.142341,9.581347,0.658019999999965,9.836066,10.675
ME01,2008-04-17 22:00:00+00:00,6.366546339193883e-08,2.797596854882503e-07,1.845635928748357e-08,0.134313,9.457372,-0.04291399999999612,0.0,10.675
ME01,2008-04-17 23:00:00+00:00,6.318819082413292e-08,2.751832525705297e-07,8.529718514620095e-09,0.142341,9.261873,0.3433150000000751,3.688525,10.675
ME01,2008-04-18 00:00:00+00:00,5.986754197372665e-08,3.002598108381671e-07,2.264070319021668e-08,0.141839,9.500286,0.41483900000002905,0.0,10.933333333333334
ME01,2008-04-18 01:00:00+00:00,5.653588098794951e-08,3.0599216848910137e-07,1.3749994243428028e-08,0.145853,8.751669,0.6008009999999331,0.0,10.933333333333334
ME01,2008-04-18 02:00:00+00:00,5.418877106082661e-08,2.5756622611236455e-07,3.3761731857565125e-08,0.150871,8.184246,0.5721909999999752,0.0,10.933333333333334
ME01,2008-04-18 03:00:00+00:00,5.2307676661329514e-08,2.648860617257015e-07,4.2572915895892305e-08,0.141839,8.641999,-0.04291399999999612,0.409836,10.933333333333334
