time,teleseismic,local_event_rate_state,local_event_rate_response,CO2_3,pressure_drop,rainfall_mm
2008-05-09 02:00:00+00:00,9.60235293762345e-08,1.9459101490553132,0.6931471805599453,0.145853,0.2574859999999717,0.0
2008-05-09 03:00:00+00:00,9.159341504304784e-08,2.0794415416798357,0.0,0.141337,0.05721900000003188,0.0
2008-05-09 04:00:00+00:00,9.090298808707538e-08,2.0794415416798357,0.0,0.153881,0.32900999999992564,0.0
2008-05-09 05:00:00+00:00,1.1288264059002564e-07,2.0794415416798357,0.0,0.153881,-0.6437149999999292,0.0
2008-05-09 06:00:00+00:00,1.4191968694941908e-07,2.0794415416798357,0.0,0.140334,-0.6294110000000046,0.0
2008-05-09 07:00:00+00:00,9.168156110633296e-08,2.0794415416798357,0.0,0.149867,-0.4863630000000967,0.0
2008-05-09 08:00:00+00:00,1.1115646015437766e-07,2.0794415416798357,0.0,0.140835,-0.24318099999993592,0.0
2008-05-09 09:00:00+00:00,1.0748674045181751e-07,2.0794415416798357,0.0,0.136821,0.42914299999995364,0.0
2008-05-09 10:00:00+00:00,9.180631403176854e-08,2.0794415416798357,0.0,0.137825,0.17165799999997944,0.0
2008-05-09 11:00:00+00:00,1.0990429623320014e-07,2.0794415416798357,0.0,0.132807,-0.11443799999995008,0.0
2008-05-09 12:00:00+00:00,1.3370193714472365e-07,2.0794415416798357,0.0,0.133811,0.04291399999999612,0.0
2008-05-09 13:00:00+00:00,1.2910925308904432e-07,2.0794415416798357,0.0,0.125783,0.2860960000000432,0.0
2008-05-09 14:00:00+00:00,1.725289016559078e-07,2.0794415416798357,0.0,0.137825,0.21457199999997556,0.0
2008-05-09 15:00:00+00:00,1.4311007749361396e-07,2.0794415416798357,0.0,0.138327,0.3290100000000393,0.0
2008-05-09 16:00:00+00:00,1.5476038733101073e-07,2.0794415416798357,0.0,0.146355,0.8153729999999086,0.0
2008-05-09 17:00:00+00:00,1.896308469669621e-07,2.0794415416798357,0.0,0.133811,0.3290100000000393,0.0
2008-05-09 18:00:00+00:00,1.6425394550216673e-07,2.0794415416798357,0.0,0.146355,-0.07152399999995396,0.0
2008-05-09 19:00:00+00:00,1.7852109064787112e-07,2.0794415416798357,0.6931471805599453,0.141839,-0.0429149999999936,0.0
2008-05-09 20:00:00+00:00,1.9287856142658068e-07,2.0794415416798357,0.6931471805599453,0.145853,-0.3004000000000815,0.0
2008-05-09 21:00:00+00:00,1.8601446979814773e-07,2.0794415416798357,0.6931471805599453,0.153379,0.31470500000000357,0.0
2008-05-09 22:00:00+00:00,1.2200034989778084e-06,2.0794415416798357,0.6931471805599453,0.154383,0.17165799999997944,0.0
2008-05-09 23:00:00+00:00,9.548147646041233e-07,2.0794415416798357,0.6931471805599453,0.170439,0.6580200000000787,0.0
2008-05-10 00:00:00+00:00,3.205279059468279e-07,2.0794415416798357,0.6931471805599453,0.162411,0.6294100000000071,0.0
